character x y
h+spa 3.9919278621673584 -3.0804457664489746
y+deu -6.8167901039123535 -4.001446723937988
y+eng -6.777945518493652 -3.9172985553741455
y+spa -1.154424786567688 -1.2067747116088867
p+deu -7.505710124969482 7.302108287811279
p+eng -7.327815055847168 7.28336763381958
p+spa -2.8805625438690186 6.165292263031006
f+deu -6.342540740966797 4.996957778930664
f+eng -6.092705249786377 5.0255842208862305
f+spa -5.021548748016357 5.019199371337891
j+deu -11.791717529296875 -1.6803290843963623
j+eng -11.737571716308594 -1.6767549514770508
j+spa -1.6735920906066895 1.987722396850586
x+deu -6.59708833694458 12.81568431854248
x+eng -6.390707015991211 12.835810661315918
x+spa -5.627429962158203 12.830320358276367
ö+deu 5.833715438842773 -0.08960754424333572
ö+eng 5.651256084442139 -0.0509069561958313
ö+spa 4.9283952713012695 0.06748387962579727
ð+deu -5.870193004608154 2.567268133163452
ð+eng -5.593106746673584 2.6083755493164062
ð+spa -4.009237289428711 2.902085065841675
á+deu -2.3204894065856934 -8.369911193847656
á+eng -2.096341133117676 -8.346105575561523
á+spa -1.271748423576355 -8.142221450805664
í+deu -1.2938830852508545 -11.852582931518555
í+eng -1.0989460945129395 -11.773043632507324
í+spa -0.4134223461151123 -11.403712272644043
ó+deu -5.782469749450684 -12.76693344116211
ó+eng -5.565012454986572 -12.883686065673828
ó+spa -4.691641330718994 -13.064785957336426
z+deu -15.228680610656738 5.3043084144592285
z+eng -15.269018173217773 5.314996719360352
z+spa -1.5558812618255615 3.8223233222961426
ü+deu -4.2238545417785645 -3.6559770107269287
ü+eng -3.9208834171295166 -3.499113082885742
ü+spa -2.2335948944091797 -2.4881954193115234
q+deu -2.8076133728027344 11.266735076904297
q+eng -2.6382040977478027 11.206537246704102
q+spa -2.047569513320923 10.832493782043457
č+deu -10.079927444458008 5.70473575592041
č+eng -9.910056114196777 5.701549053192139
č+spa -1.399369239807129 7.477451801300049
ž+deu -14.95335865020752 0.1764553189277649
ž+eng -14.325416564941406 0.04194845259189606
ž+spa 0.36096614599227905 7.663498878479004
ú+deu -4.826493263244629 -10.21589469909668
ú+eng -4.600022792816162 -10.325135231018066
ú+spa -3.785905599594116 -10.699209213256836
é+deu 1.592542052268982 -8.763993263244629
é+eng 1.718530535697937 -8.590060234069824
é+spa 2.0875332355499268 -7.88090705871582
š+deu -14.829251289367676 1.2671867609024048
š+eng -14.216798782348633 1.2052102088928223
š+spa 0.24400542676448822 7.881481170654297
ă+deu -3.722996473312378 -5.488780498504639
ă+eng -3.314926862716675 -5.582704544067383
ă+spa -0.9206272959709167 -3.2302026748657227
ä+deu -0.23743443191051483 -5.882244110107422
ä+eng -0.043451569974422455 -5.7260050773620605
ä+spa 0.5509161949157715 -4.841503620147705
å+deu -8.277802467346191 -10.938034057617188
å+eng -8.249361038208008 -11.179682731628418
å+spa -7.978085517883301 -11.943230628967285
ł+deu -8.177955627441406 -1.4170280694961548
ł+eng -8.033634185791016 -1.4133857488632202
ł+spa -2.9310686588287354 0.10711012780666351
ą+deu -13.067458152770996 -5.437990188598633
ą+eng -13.274771690368652 -5.507676124572754
ą+spa -14.008332252502441 -5.768294334411621
ė+deu -5.045563697814941 -6.122559070587158
ė+eng -4.633077144622803 -6.4959259033203125
ė+spa -0.10642934590578079 -2.697524070739746
